"Status","Date and Time","Response Time (ms)","Error","Location"
"up","03/30/2022 01:52:33 PM","703 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 01:51:33 PM","402 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 01:50:33 PM","259 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 01:49:33 PM","473 ms","OK","Portland 2 (OR)"
"up","03/30/2022 01:48:33 PM","523 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 01:47:33 PM","597 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 01:46:33 PM","585 ms","OK","Warsaw (Poland)"
"up","03/30/2022 01:45:33 PM","259 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 01:44:33 PM","456 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 01:43:33 PM","697 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 01:42:33 PM","674 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 01:41:33 PM","361 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 01:40:33 PM","290 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 01:39:33 PM","379 ms","OK","Portland 2 (OR)"
"up","03/30/2022 01:38:33 PM","408 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 01:37:33 PM","669 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 01:36:33 PM","540 ms","OK","Warsaw (Poland)"
"up","03/30/2022 01:35:33 PM","232 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 01:34:33 PM","428 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 01:33:33 PM","667 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 01:32:33 PM","702 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 01:31:33 PM","373 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 01:30:33 PM","211 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 01:29:33 PM","478 ms","OK","Portland 2 (OR)"
"up","03/30/2022 01:28:33 PM","590 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 01:27:33 PM","577 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 01:26:33 PM","625 ms","OK","Warsaw (Poland)"
"up","03/30/2022 01:25:33 PM","163 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 01:24:33 PM","492 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 01:23:33 PM","616 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 01:22:33 PM","680 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 01:21:33 PM","326 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 01:20:33 PM","173 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 01:19:33 PM","435 ms","OK","Portland 2 (OR)"
"up","03/30/2022 01:18:33 PM","459 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 01:17:33 PM","707 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 01:16:33 PM","619 ms","OK","Warsaw (Poland)"
"up","03/30/2022 01:15:33 PM","270 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 01:14:33 PM","480 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 01:13:33 PM","651 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 01:12:33 PM","565 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 01:11:33 PM","340 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 01:10:33 PM","240 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 01:09:33 PM","518 ms","OK","Portland 2 (OR)"
"up","03/30/2022 01:08:33 PM","427 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 01:07:33 PM","610 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 01:06:33 PM","563 ms","OK","Warsaw (Poland)"
"up","03/30/2022 01:05:33 PM","196 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 01:04:33 PM","428 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 01:03:33 PM","653 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 01:02:33 PM","609 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 01:01:33 PM","350 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 01:00:33 PM","265 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 12:59:33 PM","359 ms","OK","Portland 2 (OR)"
"up","03/30/2022 12:58:33 PM","401 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 12:57:33 PM","631 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 12:56:33 PM","518 ms","OK","Warsaw (Poland)"
"up","03/30/2022 12:55:33 PM","186 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 12:54:33 PM","444 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 12:53:33 PM","673 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 12:52:33 PM","713 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 12:51:33 PM","347 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 12:50:33 PM","262 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 12:49:33 PM","482 ms","OK","Portland 2 (OR)"
"up","03/30/2022 12:48:33 PM","389 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 12:47:33 PM","634 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 12:46:33 PM","550 ms","OK","Warsaw (Poland)"
"up","03/30/2022 12:45:33 PM","187 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 12:44:33 PM","434 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 12:43:33 PM","690 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 12:42:33 PM","590 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 12:41:33 PM","355 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 12:40:33 PM","253 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 12:39:33 PM","500 ms","OK","Portland 2 (OR)"
"up","03/30/2022 12:38:33 PM","403 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 12:37:33 PM","435 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 12:36:33 PM","523 ms","OK","Warsaw (Poland)"
"up","03/30/2022 12:35:33 PM","239 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 12:34:33 PM","516 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 12:33:33 PM","625 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 12:32:33 PM","662 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 12:31:33 PM","384 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 12:30:33 PM","264 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 12:29:33 PM","452 ms","OK","Portland 2 (OR)"
"up","03/30/2022 12:28:33 PM","519 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 12:27:33 PM","591 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 12:26:33 PM","606 ms","OK","Warsaw (Poland)"
"up","03/30/2022 12:25:33 PM","250 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 12:24:33 PM","468 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 12:23:33 PM","654 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 12:22:33 PM","569 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 12:21:33 PM","314 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 12:20:33 PM","232 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 12:19:33 PM","540 ms","OK","Portland 2 (OR)"
"up","03/30/2022 12:18:33 PM","486 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 12:17:33 PM","588 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 12:16:33 PM","579 ms","OK","Warsaw (Poland)"
"up","03/30/2022 12:15:33 PM","226 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 12:14:33 PM","448 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 12:13:33 PM","647 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 12:12:33 PM","577 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 12:11:33 PM","377 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 12:10:33 PM","278 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 12:09:33 PM","459 ms","OK","Portland 2 (OR)"
"up","03/30/2022 12:08:33 PM","452 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 12:07:33 PM","580 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 12:06:33 PM","579 ms","OK","Warsaw (Poland)"
"up","03/30/2022 12:05:33 PM","234 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 12:04:33 PM","463 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 12:03:33 PM","608 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 12:02:33 PM","674 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 12:01:33 PM","440 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 12:00:33 PM","234 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 11:59:33 AM","422 ms","OK","Portland 2 (OR)"
"up","03/30/2022 11:58:33 AM","513 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 11:57:33 AM","593 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 11:56:33 AM","567 ms","OK","Warsaw (Poland)"
"up","03/30/2022 11:55:33 AM","282 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 11:54:33 AM","428 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 11:53:33 AM","654 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 11:52:33 AM","705 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 11:51:33 AM","396 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 11:50:33 AM","230 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 11:49:33 AM","407 ms","OK","Portland 2 (OR)"
"up","03/30/2022 11:48:33 AM","548 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 11:47:33 AM","714 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 11:46:33 AM","596 ms","OK","Warsaw (Poland)"
"up","03/30/2022 11:45:33 AM","204 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 11:44:33 AM","452 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 11:43:33 AM","725 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 11:42:33 AM","686 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 11:41:33 AM","383 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 11:40:33 AM","231 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 11:39:33 AM","465 ms","OK","Portland 2 (OR)"
"up","03/30/2022 11:38:33 AM","424 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 11:37:33 AM","632 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 11:36:33 AM","562 ms","OK","Warsaw (Poland)"
"up","03/30/2022 11:35:33 AM","208 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 11:34:33 AM","340 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 11:33:33 AM","847 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 11:32:33 AM","683 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 11:31:33 AM","329 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 11:30:33 AM","197 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 11:29:33 AM","449 ms","OK","Portland 2 (OR)"
"up","03/30/2022 11:28:33 AM","470 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 11:27:33 AM","678 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 11:26:33 AM","590 ms","OK","Warsaw (Poland)"
"up","03/30/2022 11:25:33 AM","300 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 11:24:33 AM","477 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 11:23:33 AM","607 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 11:22:33 AM","606 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 11:21:33 AM","336 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 11:20:33 AM","300 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 11:19:33 AM","355 ms","OK","Portland 2 (OR)"
"up","03/30/2022 11:18:33 AM","525 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 11:17:33 AM","628 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 11:16:33 AM","533 ms","OK","Warsaw (Poland)"
"up","03/30/2022 11:15:33 AM","253 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 11:14:33 AM","498 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 11:13:33 AM","693 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 11:12:33 AM","519 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 11:11:33 AM","345 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 11:10:33 AM","112 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 11:09:33 AM","526 ms","OK","Portland 2 (OR)"
"up","03/30/2022 11:08:33 AM","538 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 11:07:33 AM","559 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 11:06:33 AM","576 ms","OK","Warsaw (Poland)"
"up","03/30/2022 11:05:33 AM","290 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 11:04:33 AM","425 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 11:03:33 AM","737 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 11:02:33 AM","524 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 11:01:33 AM","391 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 11:00:33 AM","278 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 10:59:33 AM","471 ms","OK","Portland 2 (OR)"
"up","03/30/2022 10:58:33 AM","464 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 10:57:33 AM","584 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 10:56:33 AM","557 ms","OK","Warsaw (Poland)"
"up","03/30/2022 10:55:33 AM","198 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 10:54:33 AM","497 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 10:53:33 AM","748 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 10:52:33 AM","666 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 10:51:33 AM","377 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 10:50:33 AM","212 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 10:49:33 AM","473 ms","OK","Portland 2 (OR)"
"up","03/30/2022 10:48:33 AM","411 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 10:47:33 AM","668 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 10:46:33 AM","574 ms","OK","Warsaw (Poland)"
"up","03/30/2022 10:45:33 AM","267 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 10:44:33 AM","371 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 10:43:33 AM","712 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 10:42:33 AM","624 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 10:41:33 AM","322 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 10:40:33 AM","265 ms","OK","Philadelphia 2 (PA)"
"up","03/30/2022 10:39:33 AM","533 ms","OK","Portland 2 (OR)"
"up","03/30/2022 10:38:33 AM","499 ms","OK","Frankfurt 3 (Germany)"
"up","03/30/2022 10:37:33 AM","669 ms","OK","Dusseldorf 2 (Germany)"
"up","03/30/2022 10:36:33 AM","581 ms","OK","Warsaw (Poland)"
"up","03/30/2022 10:35:33 AM","211 ms","OK","Chicago 2 (IL)"
"up","03/30/2022 10:34:33 AM","432 ms","OK","San Francisco 2 (CA)"
"up","03/30/2022 10:33:33 AM","615 ms","OK","Thessaloniki (Greece)"
"up","03/30/2022 10:32:33 AM","583 ms","OK","Stockholm 2 (Sweden)"
"up","03/30/2022 10:31:33 AM","354 ms","OK","Los Angeles 3 (CA)"
"up","03/30/2022 10:30:33 AM","143 ms","OK","Philadelphia 2 (PA)"
